id,name,bus_id,min_generation,max_generation,cost
1,1,1,0.0,3178.09554715644,0.0
2,2,1,0.0,2455.2345991757593,0.0
3,3,1,0.0,16825.211720239975,20.12
4,4,1,0.0,7976.396667373025,23.21
5,5,1,0.0,4985.24791710814,37.8
6,6,1,0.0,1246.311979277035,58.89
7,7,1,0.0,4287.313208713001,86.69
8,8,1,0.0,2492.62395855407,102.84
9,9,1,0.0,6231.559896385175,142.25
10,10,1,0.0,2928.8331513010326,142.82
11,11,1,0.0,1670.058052231227,143.49
12,12,1,0.0,9596.60224043317,168.44
13,13,1,0.0,348.9673541975698,178.43
14,14,1,0.0,2567.4026773106925,197.85
15,15,1,0.0,1084.2914219710206,213.84
16,16,1,0.0,2542.4764377251518,216.1
17,17,1,0.0,4000.661453479283,220.92
18,18,1,0.0,1956.7098074649452,247.3
19,19,1,0.0,1582.8162136818346,289.96
20,20,1,0.0,735.3240677734507,299.99
21,21,1,0.0,2816.6650731660993,299.99
22,22,1,0.0,2692.033875238396,299.99
23,23,1,0.0,810.1027865300729,300.0
24,24,1,0.0,3315.1898648769134,300.0
25,25,1,0.0,5433.920229647873,310.41
26,26,1,0.0,11578.238287483657,388.48
27,27,1,0.0,7128.904521464641,399.02
28,28,1,0.0,2492.62395855407,470.34
29,29,1,0.0,6592.990370375516,511.77
30,30,1,0.0,373.89359378311053,523.35
31,31,1,0.0,2181.0459637348117,626.78
32,32,1,0.0,1632.6686928529161,645.3
33,33,1,0.0,4237.460729541919,678.04
34,34,1,0.0,2193.509083527582,730.2
35,35,1,0.0,548.3772708818955,822.15
36,36,1,0.0,1744.8367709878491,877.87
37,37,1,0.0,448.6723125397327,937.0
38,38,1,0.0,124.63119792770351,1047.38
39,39,1,0.0,673.008468809599,1148.68
